"Plot.ID","Colwell.P","Canopy"
"PHW1EW",14,0.50174
"PHW1MD",11.6,0.40342
"PHW1MW",14,0.55328
"PHW1ND",11.6,0.46355
"PHW1NW",14,0.55693
"PHW1SD",11.6,0.44508
"PHW1SW",14,0.52515
"PHW2CD",13.4,0.61479
"PHW2CW",11.7,0.50964
"PHW2ED",13.4,0.49868
"PHW2EW",11.7,0.50325
"PHW2MD",13.4,0.53988
"PHW2MW",11.7,0.47943
"PHW2ND",13.4,0.48514
"PHW2NW",11.7,0.52349
"PHW2SW",11.7,0.6076
"PHW3CD",15.6,0.23346
"PHW3CW",10.6,0.20968
"PHW3ED",NA,NA
"PHW3EW",10.6,0.2438
"PHW3MD",15.6,0.19794
"PHW3MW",10.6,0.22614
"PHW3ND",15.6,0.24306
"PHW3NW",10.6,0.22953
"PHW3SD",15.6,0.16824
"PHW3SW",10.6,0.41279
"PHW4CD",12.7,0.64676
"PHW4CW",7.8,0.2734
"PHW4ED",12.7,0.59238
"PHW4EW",7.8,0.63897
"PHW4MD",12.7,0.68331
"PHW4MW",7.8,0.65689
"PHW4ND",12.7,0.68747
"PHW4NW",7.8,0.63765
"PHW4SD",12.7,0.59191
"PHW4SW",7.8,0.17137
"PTW1CD",8.6,0.49406
"PTW1ND",8.6,0.50483
"PTW1NW",13.7,0.5011
"PTW1SD",8.6,0.5154
"PTW1SW",13.7,0.56481
"PTW2CD",13,0.67901
"PTW2CW",11.7,0.67545
"PTW2ED",13,0.593
"PTW2EW",11.7,0.65217
"PTW2MD",13,0.62565
"PTW2MW",11.7,0.59952
"PTW2ND",13,0.70175
"PTW2NW",11.7,0.61151
"PTW2SD",13,0.60361
"PTW2SW",11.7,0.42855
"PTW4CW",10,0.00116
"PTW4ED",6.5,0.59327
"PTW4MD",6.5,0.7669
"PTW4MW",10,0.02303
"PTW4NW",10,0.02156
