"","Reserve.x","Block.x","Plot.ID.x","Quadrant.x","Plot.ID.quadrant","Trt.comp.x","Trt.water.x","Focal.sp.x","Angianthus.tomentosus","Arctotheca.calendula","Brassica.tournefortii","Calandrinia.eremaea","Calotis.hispidula","Calotis.multicaulis","Chthonocephalus.pseudevax","Crassula.colorata.or.exserta","Daucus.glochidiatus","Echium.plantagineum","Ehrharta.longiflora","Gilberta.tenuifolia","Gonocarpus.nodulosus","Goodenia.berardiana","Haloragis.odontocarpa","Lawrencella.rosea","Lobelia.sp","Monoculus.monstrosus","Nicotiana.rotundifolia","Oxalis.sp","Parentucellia.latifolia","Pentaschistis.airoides","Peperomia-like weed","Petrorhagia.velutina","Plantago.debilis","Podolepis.canescens","Podotheca.gnaphalioides","Pogonolepis.muelleriana","Ptilotus.sp","Rhodanthe.citrina","Rhodanthe.laevis","Rhodanthe.manglesii","Schoenia.cassiniana","Schoenus.nanus","Senecio.glossanthus","Sonchus.oleraceus","Stenopetalum.lineare","Trifolium.sp","Urospermum.picroides","Ursinia.anthemoides","Velleia.rosea","Vulpia.bromoides","Wahlenbergia.capensis","Wahlenbergia.gracilenta","Waitzia.acuminata","Waitzia.nitida","<NA>","Plot","Number.flowers.total","Seedcount.extrapolated.integer","Colwell.P","Canopy"
"11","bendering","BAH1","BAH1MW",4,"BAH1MW.4","M","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,NA,18.1,0.43058
"12","bendering","BAH1","BAH1NW",1,"BAH1NW.1","N","W","H",0,0,0,0,0,0,0,20,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,NA,18.1,0.47318
"13","bendering","BAH1","BAH1NW",2,"BAH1NW.2","N","W","A",0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,4,NA,18.1,0.47318
"14","bendering","BAH1","BAH1NW",3,"BAH1NW.3","N","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,NA,18.1,0.47318
"15","bendering","BAH1","BAH1NW",4,"BAH1NW.4","N","W","A",0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,18.1,0.47318
"16","bendering","BAH1","BAH1SD",1,"BAH1SD.1","S","D","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,NA,34.2,0.48378
"17","bendering","BAH1","BAH1SD",4,"BAH1SD.4","S","D","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,NA,34.2,0.48378
"18","bendering","BAH1","BAH1SW",1,"BAH1SW.1","S","W","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,NA,18.1,0.46537
"19","bendering","BAH1","BAH1SW",2,"BAH1SW.2","S","W","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,18.1,0.46537
"20","bendering","BAH1","BAH1SW",3,"BAH1SW.3","S","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,NA,18.1,0.46537
"21","bendering","BAH1","BAH1SW",4,"BAH1SW.4","S","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,NA,18.1,0.46537
"22","bendering","BAH2","BAH2CD",1,"BAH2CD.1","C","D","A",0,7,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,28.1,0.36435
"23","bendering","BAH2","BAH2CD",2,"BAH2CD.2","C","D","H",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,28.1,0.36435
"24","bendering","BAH2","BAH2CD",3,"BAH2CD.3","C","D","H",0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,28.1,0.36435
"25","bendering","BAH2","BAH2CD",4,"BAH2CD.4","C","D","A",0,20,0,0,0,0,0,0,0,0,3,0,10,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,28.1,0.36435
"26","bendering","BAH2","BAH2CW",1,"BAH2CW.1","C","W","H",0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,18.1,0.45068
"27","bendering","BAH2","BAH2CW",2,"BAH2CW.2","C","W","A",0,2,0,0,0,0,0,0,4,0,0,0,10,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,18.1,0.45068
"28","bendering","BAH2","BAH2CW",3,"BAH2CW.3","C","W","H",0,0,0,0,0,0,0,0,0,0,1,0,30,0,0,6,0,2,0,0,0,0,0,0,11,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,18.1,0.45068
"29","bendering","BAH2","BAH2CW",4,"BAH2CW.4","C","W","A",0,2,0,0,0,0,0,0,1,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,18.1,0.45068
"30","bendering","BAH2","BAH2EW",1,"BAH2EW.1","E","W","H",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,NA,18.1,0.3605
"31","bendering","BAH2","BAH2EW",2,"BAH2EW.2","E","W","A",0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,NA,18.1,0.3605
"32","bendering","BAH2","BAH2EW",3,"BAH2EW.3","E","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,NA,18.1,0.3605
"33","bendering","BAH2","BAH2EW",4,"BAH2EW.4","E","W","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,18.1,0.3605
"34","bendering","BAH2","BAH2MD",1,"BAH2MD.1","M","D","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,230,28.1,0.49926
"35","bendering","BAH2","BAH2MD",2,"BAH2MD.2","M","D","A",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,NA,28.1,0.49926
"36","bendering","BAH2","BAH2MD",3,"BAH2MD.3","M","D","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,185,28.1,0.49926
"37","bendering","BAH2","BAH2MD",4,"BAH2MD.4","M","D","A",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,NA,28.1,0.49926
"38","bendering","BAH2","BAH2MW",1,"BAH2MW.1","M","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,NA,17.7,0.36826
"39","bendering","BAH2","BAH2MW",2,"BAH2MW.2","M","W","A",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,NA,17.7,0.36826
"40","bendering","BAH2","BAH2MW",3,"BAH2MW.3","M","W","A",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,NA,17.7,0.36826
"41","bendering","BAH2","BAH2NW",2,"BAH2NW.2","N","W","H",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,NA,17.7,0.61809
"42","bendering","BAH2","BAH2NW",3,"BAH2NW.3","N","W","A",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,NA,17.7,0.61809
"43","bendering","BAH2","BAH2NW",4,"BAH2NW.4","N","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,NA,17.7,0.61809
"44","bendering","BAH2","BAH2SW",1,"BAH2SW.1","S","W","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,NA,17.7,0.63159
"45","bendering","BAH2","BAH2SW",2,"BAH2SW.2","S","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,116,17.7,0.63159
"46","bendering","BAH2","BAH2SW",3,"BAH2SW.3","S","W","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,NA,17.7,0.63159
"47","bendering","BAH2","BAH2SW",4,"BAH2SW.4","S","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,NA,17.7,0.63159
"48","bendering","BAH3","BAH3ED",1,"BAH3ED.1","E","D","H",0,15,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,NA,6.5,0.6458
"49","bendering","BAH3","BAH3ED",2,"BAH3ED.2","E","D","A",0,13,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,NA,6.5,0.6458
"50","bendering","BAH3","BAH3ED",3,"BAH3ED.3","E","D","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6.5,0.6458
"51","bendering","BAH3","BAH3ED",4,"BAH3ED.4","E","D","H",0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,NA,6.5,0.6458
"52","bendering","BAH3","BAH3MD",1,"BAH3MD.1","M","D","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,6.5,0.61334
"53","bendering","BAH3","BAH3MD",2,"BAH3MD.2","M","D","A",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,26,6.5,0.61334
"54","bendering","BAH3","BAH3MD",3,"BAH3MD.3","M","D","A",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,22,6.5,0.61334
"55","bendering","BAH3","BAH3MD",4,"BAH3MD.4","M","D","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,27,6.5,0.61334
"56","bendering","BAH3","BAH3ND",1,"BAH3ND.1","N","D","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,4,0,6.5,NA
"57","bendering","BAH3","BAH3ND",2,"BAH3ND.2","N","D","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,6.5,NA
"58","bendering","BAH3","BAH3ND",3,"BAH3ND.3","N","D","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,1,19,6.5,NA
"59","bendering","BAH3","BAH3ND",4,"BAH3ND.4","N","D","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,3,NA,6.5,NA
"60","bendering","BAH4","BAH4CW",2,"BAH4CW.2","C","W","H",0,4,0,0,0,0,0,0,0,0,6,0,20,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,2,3,NA,16.3,0.45815
"61","bendering","BAH4","BAH4CW",2,"BAH4CW.2","C","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,NA,16.3,0.45815
"62","bendering","BAH4","BAH4CW",3,"BAH4CW.3","C","W","A",0,0,0,0,0,0,0,0,0,0,1,0,40,2,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,4,NA,16.3,0.45815
"63","bendering","BAH4","BAH4CW",3,"BAH4CW.3","C","W","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,NA,16.3,0.45815
"64","bendering","BAH4","BAH4EW",1,"BAH4EW.1","E","W","H",0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,2,NA,16.3,0.44403
"65","bendering","BAH4","BAH4EW",2,"BAH4EW.2","E","W","H",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,NA,16.3,0.44403
"66","bendering","BAH4","BAH4MW",1,"BAH4MW.1","M","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA,16.3,0.4564
"67","bendering","BAH4","BAH4MW",2,"BAH4MW.2","M","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA,16.3,0.4564
"68","bendering","BAH4","BAH4MW",3,"BAH4MW.3","M","W","A",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,NA,16.3,0.4564
"69","bendering","BAH4","BAH4MW",4,"BAH4MW.4","M","W","A",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,NA,16.3,0.4564
"70","bendering","BAH4","BAH4NW",1,"BAH4NW.1","N","W","H",0,0,0,0,0,0,0,0,0,0,0,0,50,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,NA,16.3,0.47881
"71","bendering","BAH4","BAH4NW",2,"BAH4NW.2","N","W","A",0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,NA,16.3,0.47881
"72","bendering","BAH4","BAH4NW",3,"BAH4NW.3","N","W","A",0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,16.3,0.47881
"73","bendering","BAH4","BAH4NW",4,"BAH4NW.4","N","W","H",0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,NA,16.3,0.47881
"74","bendering","BAH4","BAH4SW",1,"BAH4SW.1","S","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,88,16.3,0.48453
"75","bendering","BAH4","BAH4SW",2,"BAH4SW.2","S","W","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,NA,NA,16.3,0.48453
"76","bendering","BAH4","BAH4SW",3,"BAH4SW.3","S","W","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,NA,16.3,0.48453
"77","bendering","BAH4","BAH4SW",4,"BAH4SW.4","S","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,91,16.3,0.48453
"78","bendering","BAT1","BAT1CW",1,"BAT1CW.1","C","W","A",0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,NA,7.2,0.4298
"79","bendering","BAT1","BAT1CW",2,"BAT1CW.2","C","W","T",0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,22.5,45,7.2,0.4298
"80","bendering","BAT1","BAT1CW",3,"BAT1CW.3","C","W","T",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,36,72,7.2,0.4298
"81","bendering","BAT1","BAT1CW",4,"BAT1CW.4","C","W","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,NA,7.2,0.4298
"82","bendering","BAT1","BAT1MW",1,"BAT1MW.1","M","W","A",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,NA,7.2,0.42209
"83","bendering","BAT1","BAT1MW",2,"BAT1MW.2","M","W","A",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,NA,7.2,0.42209
"84","bendering","BAT1","BAT1MW",3,"BAT1MW.3","M","W","T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,94.5,189,7.2,0.42209
"85","bendering","BAT1","BAT1MW",4,"BAT1MW.4","M","W","T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,45,90,7.2,0.42209
"86","bendering","BAT2","BAT2CW",1,"BAT2CW.1","C","W","A",0,6,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,30,4,0,100,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,NA,8,0.49576
